index STRING_id
107 1317117.ATO7_00850
108 1317117.ATO7_00855
109 1317117.ATO7_00860
110 1317117.ATO7_00865
111 1317117.ATO7_00870
112 1317117.ATO7_00875
113 1317117.ATO7_00880
114 1317117.ATO7_00885
115 1317117.ATO7_00890
116 1317117.ATO7_00900
117 1317117.ATO7_00905
118 1317117.ATO7_00910
119 1317117.ATO7_00915
120 1317117.ATO7_00920
121 1317117.ATO7_00925
122 1317117.ATO7_00930
123 1317117.ATO7_00935
124 1317117.ATO7_00945
125 1317117.ATO7_00955
126 1317117.ATO7_00960
127 1317117.ATO7_00965
128 1317117.ATO7_00985
129 1317117.ATO7_00990
130 1317117.ATO7_00995
131 1317117.ATO7_01005
132 1317117.ATO7_01010
133 1317117.ATO7_01015
134 1317117.ATO7_01020
135 1317117.ATO7_01025
136 1317117.ATO7_01030
137 1317117.ATO7_01035
138 1317117.ATO7_01040
139 1317117.ATO7_01050
140 1317117.ATO7_01060
141 1317117.ATO7_01070
142 1317117.ATO7_01080
143 1317117.ATO7_01085
144 1317117.ATO7_01105
145 1317117.ATO7_01110
146 1317117.ATO7_01115
147 1317117.ATO7_01120
148 1317117.ATO7_01125
149 1317117.ATO7_01130
150 1317117.ATO7_01135
151 1317117.ATO7_01140
152 1317117.ATO7_01145
153 1317117.ATO7_01150
154 1317117.ATO7_01155
155 1317117.ATO7_01160
156 1317117.ATO7_01165
157 1317117.ATO7_01170
158 1317117.ATO7_01175
159 1317117.ATO7_01180
160 1317117.ATO7_01185
161 1317117.ATO7_01195
162 1317117.ATO7_01200
163 1317117.ATO7_01205
164 1317117.ATO7_01210
165 1317117.ATO7_01220
166 1317117.ATO7_01225
167 1317117.ATO7_01240
168 1317117.ATO7_01250
169 1317117.ATO7_01260
170 1317117.ATO7_01265
171 1317117.ATO7_01270
172 1317117.ATO7_01275
173 1317117.ATO7_01285
174 1317117.ATO7_01290
175 1317117.ATO7_01295
176 1317117.ATO7_01300
177 1317117.ATO7_01305
178 1317117.ATO7_01310
179 1317117.ATO7_01315
180 1317117.ATO7_01320
181 1317117.ATO7_01325
182 1317117.ATO7_01330
183 1317117.ATO7_01335
184 1317117.ATO7_01340
185 1317117.ATO7_01345
186 1317117.ATO7_01355
187 1317117.ATO7_01360
188 1317117.ATO7_01365
189 1317117.ATO7_01380
190 1317117.ATO7_01385
191 1317117.ATO7_01390
192 1317117.ATO7_01400
193 1317117.ATO7_01405
194 1317117.ATO7_01410
195 1317117.ATO7_01415
196 1317117.ATO7_01420
197 1317117.ATO7_01425
198 1317117.ATO7_01430
199 1317117.ATO7_01445
200 1317117.ATO7_01450
201 1317117.ATO7_01455
202 1317117.ATO7_01465
203 1317117.ATO7_01475
204 1317117.ATO7_01480
205 1317117.ATO7_01485
206 1317117.ATO7_01490
207 1317117.ATO7_01495
208 1317117.ATO7_01500
209 1317117.ATO7_01505
210 1317117.ATO7_01510
211 1317117.ATO7_01515
212 1317117.ATO7_01520
213 1317117.ATO7_01525
214 1317117.ATO7_01535
215 1317117.ATO7_01550
216 1317117.ATO7_01555
217 1317117.ATO7_01575
218 1317117.ATO7_01585
219 1317117.ATO7_01595
220 1317117.ATO7_01600
